"vid","id","source","project","pcode","name","visit_date","visit","novisit_reason","geom","longitude","latitude","location_origin","prefecture","sousprefecture","commune","village","chantiers_numb","workers_numb","workers_women","workers_women_work_type","childunder15","childunder15_work_type","minerals","minerals_diamant","minerals_or","minerals_autre","production_destination","services1_name","services1_frequency","services2_name","services2_frequency","services3_name","services3_frequency","actor_type","actor1name","actor1name_frequency","actor1name_tax","actor1name_pillage","actor1name_forcedlabour","actor1name_buyminerals","actor1name_digging","actor1name_monopoly","actor2name","actor2name_frequency","actor2name_tax","actor2name_pillage","actor2name_forcedlabour","actor2name_buyminerals","actor2name_digging","actor2name_monopoly","actor3name","actor3name_frequency","actor3name_tax","actor3name_pillage","actor3name_forcedlabour","actor3name_buyminerals","actor3name_digging","actor3name_monopoly","roadblocks","roadblocks_actor","environment_water_change","environment_deforestation","conflict_category","conflict_type","accident_injured","accident_dead"
755,220,"IPIS","IPIS - Covid19 2020","cafmine00228","Willy","2020-11-04",0,"Appel telephonique - Covid19","0101000020E6100000FDF675E09C413140CE443FF8637D1840",17.2563,6.1224516667,"GPS","Ouham","Bossangoa","Koro-M'poko","Katanga2",,100,20,,0,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,225,"IPIS","IPIS - Covid19 2020","cafmine00234","Yoho","2020-11-04",0,"Appel telephonique - Covid19","0101000020E6100000D791FB42B532314012929E4471741840",17.1980783333,6.1137133333,"GPS","Ouham","Bossangoa","Koro-M'poko","Yoho",,2,0,,0,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,98,"IPIS","IPIS - Covid19 2020","cafmine00153","Arabi","2020-11-05",0,"Appel telephonique - Covid19","0101000020E61000002755F2A0C6322F4015E2262695760F40",15.5991716667,3.9329016667,"GPS","Mambéré-Kadéï","Sosso-Nakombo","Basse-Kadéi","Arabi",,500,150,,50,,"Diamant, Or",1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,114,"IPIS","IPIS - Covid19 2020","cafmine00155","Nazembe","2020-11-05",0,"Appel telephonique - Covid19","0101000020E610000059C0046EDDE52F405D50DF32A7BB1040",15.948955,4.183255,"GPS","Mambéré-Kadéï","Berbérati","Basse-Mambéré","Siriri",,100,20,,5,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,188,"IPIS","IPIS - Covid19 2020","cafmine00156","Mboumbou","2020-11-05",0,"Appel telephonique - Covid19","0101000020E61000001D03B2D7BBFF2E400CD73C69CE371040",15.49948,4.0544983333,"GPS","Mambéré-Kadéï","Sosso-Nakombo","Basse-Kadéi","Beinademon",,300,50,,10,,"Diamant",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,109,"IPIS","IPIS - Covid19 2020","cafmine00172","Maoro","2020-11-05",0,"Appel telephonique - Covid19","0101000020E6100000D4AC5B18FC1C31400599CBEB9B2E1340",17.1132216667,4.7955166667,"GPS","Lobaye","Boganangone","Boganangone","Djoumbélé",,180,75,,10,,"Diamant, Or",1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,79,"IPIS","IPIS - Covid19 2020","cafmine00173","Kpâ","2020-11-05",0,"Appel telephonique - Covid19","0101000020E6100000609EA6BBD8453140D6BBA6E51AE91240",17.2728383333,4.7276416667,"GPS","Lobaye","Boganangone","Boganangone","Dolo",,30,12,,6,,"Diamant, Or",1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,216,"IPIS","IPIS - Covid19 2020","cafmine00219","Gom","2020-11-05",0,"Appel telephonique - Covid19","0101000020E61000005F9148ECEDB92D4079758E01D9EB1440",14.8631433333,5.23032,"GPS","Nana-Mambéré","Abba","Abba","Sagani",,60,30,,10,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,217,"IPIS","IPIS - Covid19 2020","cafmine00220","Gom","2020-11-05",0,"Appel telephonique - Covid19","0101000020E610000019390B7BDAD12D407C444C8924EA1440",14.90987,5.228655,"GPS","Nana-Mambéré","Abba","Abba","Sagani",,80,40,,5,,"Or",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,107,"IPIS","IPIS - Covid19 2020","cafmine00271","Gbayenbé","2020-11-05",0,"Appel telephonique - Covid19","0101000020E6100000FDA4DAA7E3612E40542C50ADAB8F1540",15.19119,5.3903033333,"GPS","Nana-Mambéré","Abba","Abba","Abba",,100,20,,10,,"Diamant, Or",1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
